agg_trade_id,price,quantity,first_trade_id,last_trade_id,transact_time,is_buyer_maker
1253333,114639.7,6.0,2178758,2178759,1758585603593,false
1253334,114639.7,15.0,2178760,2178761,1758585604115,false
1253335,114639.7,3.0,2178762,2178763,1758585604742,false
1253336,114639.6,5.0,2178764,2178766,1758585605626,true
1253337,114616.6,108.0,2178767,2178771,1758585607527,true
1253338,114612.8,4.0,2178772,2178772,1758585607527,true
1253339,114610.7,32.0,2178773,2178773,1758585607527,true
1253340,114610.6,106.0,2178774,2178774,1758585607527,true
1253341,114583.4,64.0,2178775,2178776,1758585609597,false
1253342,114597.7,4.0,2178777,2178777,1758585618243,true
1253343,114583.3,9.0,2178778,2178779,1758585620313,true
1253344,114558.5,1.0,2178780,2178780,1758585636219,true
1253345,114552.1,1.0,2178781,2178781,1758585636392,true
1253346,114541.1,16.0,2178782,2178783,1758585638151,false
1253347,114559.2,1.0,2178784,2178784,1758585638265,false
1253348,114570.6,23.0,2178785,2178787,1758585648965,true
1253349,114541.2,71.0,2178788,2178789,1758585660142,false
1253350,114564.3,3.0,2178790,2178791,1758585667316,false
1253351,114570.7,1.0,2178792,2178792,1758585667319,false
1253352,114593.6,1.0,2178793,2178793,1758585695397,true
1253353,114593.6,38.0,2178794,2178797,1758585696583,true
1253354,114576.7,14.0,2178798,2178798,1758585707786,false
1253355,114593.7,63.0,2178799,2178800,1758585724348,false
1253356,114605.2,25.0,2178801,2178802,1758585724348,false
1253357,114614.7,60.0,2178803,2178803,1758585724348,false
1253358,114614.8,32.0,2178804,2178804,1758585724348,false
1253359,114697.1,15.0,2178805,2178807,1758585781872,true
1253360,114693.4,11.0,2178808,2178808,1758585800040,true
1253361,114645.4,1.0,2178809,2178809,1758585801564,true
1253362,114605.2,44.0,2178810,2178811,1758585850576,false
1253363,114603.6,3.0,2178812,2178812,1758585868509,false
1253364,114552.0,4.0,2178813,2178815,1758585931619,false
1253365,114556.3,4.0,2178816,2178817,1758585978070,false
1253366,114588.4,7.0,2178818,2178819,1758586022995,false
1253367,114615.9,1.0,2178820,2178820,1758586028767,true
1253368,114615.9,7.0,2178821,2178824,1758586029686,true
1253369,114596.1,7.0,2178825,2178827,1758586063927,true
1253370,114547.8,17.0,2178828,2178829,1758586074866,false
1253371,114541.0,208.0,2178830,2178831,1758586099062,true
1253372,114540.3,57.0,2178832,2178832,1758586099062,true
1253373,114524.9,4.0,2178833,2178834,1758586100365,true
1253374,114514.2,5.0,2178835,2178836,1758586123738,false
1253375,114525.6,4.0,2178837,2178837,1758586138382,true
1253376,114514.2,53.0,2178838,2178840,1758586163620,false
1253377,114514.1,79.0,2178841,2178842,1758586214001,true
1253378,114513.0,17.0,2178843,2178843,1758586214001,true
1253379,114512.0,19.0,2178844,2178844,1758586214001,true
1253380,114500.1,53.0,2178845,2178848,1758586221609,false
1253381,114524.6,1.0,2178849,2178849,1758586228516,true
1253382,114524.6,3.0,2178850,2178851,1758586229289,true
1253383,114500.1,5.0,2178852,2178852,1758586236772,false
1253384,114513.1,72.0,2178853,2178854,1758586281653,true
1253385,114500.1,7.0,2178855,2178855,1758586309812,false
1253386,114524.7,238.0,2178856,2178860,1758586328484,false
1253387,114524.7,82.0,2178861,2178863,1758586331860,false
1253388,114524.6,24.0,2178864,2178865,1758586332745,true
1253389,114524.6,50.0,2178866,2178867,1758586335864,true
1253390,114501.7,7.0,2178868,2178868,1758586377178,false
1253391,114524.7,10.0,2178869,2178869,1758586377342,false
1253392,114535.4,11.0,2178870,2178871,1758586379257,true
1253393,114513.1,10.0,2178872,2178872,1758586393187,false
1253394,114513.3,62.0,2178873,2178873,1758586393187,false
1253395,114513.1,63.0,2178874,2178875,1758586393351,false
1253396,114582.1,7.0,2178876,2178876,1758586439621,true
1253397,114559.1,5.0,2178877,2178877,1758586487957,true
1253398,114559.1,2.0,2178878,2178878,1758586495484,true
1253399,114552.9,7.0,2178879,2178879,1758586514475,false
1253400,114569.4,19.0,2178880,2178884,1758586521542,true
1253401,114549.5,5.0,2178885,2178885,1758586533945,false
1253402,114569.5,1.0,2178886,2178886,1758586544611,false
1253403,114587.5,1.0,2178887,2178887,1758586548125,false
1253404,114587.5,4.0,2178888,2178888,1758586563443,false
1253405,114588.4,57.0,2178889,2178889,1758586563443,false
1253406,114628.1,1.0,2178890,2178890,1758586587086,true
1253407,114628.1,19.0,2178891,2178892,1758586597246,true
1253408,114606.7,5.0,2178893,2178893,1758586612679,true
1253409,114577.5,5.0,2178894,2178895,1758586626085,true
1253410,114550.8,5.0,2178896,2178896,1758586635908,false
1253411,114580.8,4.0,2178897,2178897,1758586653447,false
1253412,114580.8,1.0,2178898,2178898,1758586656187,false
1253413,114586.5,1.0,2178899,2178899,1758586656189,false
1253414,114616.6,69.0,2178900,2178906,1758586673048,true
1253415,114602.2,5.0,2178907,2178908,1758586678809,true
1253416,114582.2,3.0,2178909,2178909,1758586685888,false
1253417,114582.2,1.0,2178910,2178910,1758586693022,false
1253418,114587.9,3.0,2178911,2178911,1758586694679,false
1253419,114612.3,3.0,2178912,2178913,1758586701737,true
1253420,114583.4,3.0,2178914,2178914,1758586734447,false
1253421,114601.0,58.0,2178915,2178915,1758586753408,false
1253422,114628.1,3.0,2178916,2178916,1758586786887,true
1253423,114628.2,3.0,2178917,2178917,1758586808368,false
1253424,114662.6,3.0,2178918,2178919,1758586859341,true
1253425,114639.7,3.0,2178920,2178921,1758586871165,false
1253426,114662.6,3.0,2178922,2178922,1758586901359,true
1253427,114661.3,2.0,2178923,2178923,1758586911487,false
1253428,114661.3,127.0,2178924,2178927,1758586923733,false
1253429,114661.3,22.0,2178928,2178928,1758586924159,false
1253430,114661.3,13.0,2178929,2178930,1758586924451,false
1253431,114661.3,13.0,2178931,2178931,1758586924971,false
1253432,114697.1,5.0,2178932,2178932,1758586986636,true
1253433,114674.4,5.0,2178933,2178934,1758587005838,false
1253434,114731.6,59.0,2178935,2178936,1758587144135,true
1253435,114731.6,3.0,2178937,2178937,1758587144248,true
1253436,114716.0,65.0,2178938,2178939,1758587164156,false
1253437,114731.7,3.0,2178940,2178940,1758587171906,false
1253438,114741.3,220.0,2178941,2178942,1758587176693,false
1253439,114765.6,118.0,2178943,2178946,1758587183940,false
1253440,114766.2,1.0,2178947,2178947,1758587183941,false
1253441,114767.2,2.0,2178948,2178948,1758587183942,false
1253442,114767.2,1.0,2178949,2178949,1758587185124,false
1253443,114777.6,3.0,2178950,2178950,1758587215503,true
1253444,114763.5,4.0,2178951,2178952,1758587230703,false
1253445,114844.7,4.0,2178953,2178954,1758587266654,true
1253446,114831.6,3.0,2178955,2178955,1758587279306,true
